Row_Number,Time,Main_Engine_Fuel_Consumption_MT_day,Main_Engine_Using_HFO_bool,Main_Engine_Using_MGO_bool,Draft_Forward_meters,Draft_Aft_meters,Draft_Mid_1_meters,Draft_Mid_2_meters,Speed_Over_Ground_knots,Speed_Through_Water_knots,Heading_degrees,Rudder_Angle_degrees,Weather_Service_Apparent_Wind_Speed_knots,Weather_Service_Apparent_Wind_Direction_degrees_from_bow,Weather_Service_True_Wind_Speed_knots,Weather_Service_True_Wind_Direction_degrees_from_north,Weather_Service_Temperature_celsius,Water_Depth_meters,id
66,2017-07-09T03:00:00,41.52450324301236,0.0,0.0,0.0,0.0,0.0,11.287665795216984,15.830917669110931,15.822444446052344,114.40414234951649,357.5059679427083,22.32241034669537,-22.2871043930654,9.74364132384374,174.72899959248525,25.159502535785066,0.0,10
67,2017-07-09T04:00:00,41.28089271776434,0.0,0.0,0.0,0.0,0.0,11.263893728991775,15.859365631413798,16.115308621172733,114.3658603548639,357.8637063574117,20.53624897305445,-23.22998429373931,8.641847932152707,183.96809858335934,25.29378983683972,0.0,10
68,2017-07-09T05:00:00,41.0622564442717,0.0,0.0,0.0,0.0,0.0,11.272152753472517,15.703458387473491,15.819770307323026,116.19793117330573,358.33801165385506,17.78713237288053,-19.629464047001925,6.066885546926635,196.23179988567165,25.130770395233185,0.0,10
69,2017-07-09T06:00:00,41.046485743484695,0.0,0.0,0.0,0.0,0.0,11.265157176795158,15.984500088967676,15.848537303934073,116.11265166930609,357.9764101372395,15.612765748493786,-14.746115806022866,4.0715785980891965,218.6806654261271,25.026410309366895,0.0,10
70,2017-07-09T07:00:00,41.234157650496954,0.0,0.0,0.0,0.0,0.0,11.274203055573066,16.039891254112252,16.076205231810523,119.59662695603936,358.0950915863265,13.532262847200814,-8.316817488530504,3.2944793038579765,263.1449660237381,25.464120257364925,0.0,10
71,2017-07-09T08:00:00,40.8663602316671,0.0,0.0,0.0,0.0,0.0,11.279743811769983,15.961996350067707,16.161212033065933,123.11968688976748,357.9405048952562,9.40641772075163,-18.01030192069368,7.5953643322894955,280.60554993179954,25.844211776087775,0.0,10
72,2017-07-09T09:00:00,40.800516019793804,0.0,0.0,0.0,0.0,0.0,11.264884054896333,15.76358952752424,16.183629586732756,123.83696587138454,357.76640129359606,7.3807349767809365,-20.83929547970028,9.246330674103271,287.3396670998934,26.091410221245667,0.0,10
73,2017-07-09T10:00:00,40.82953238951572,0.0,0.0,0.0,0.0,0.0,11.269640505979226,15.812839883376865,16.0044806290286,125.61474861290505,357.3925935246871,6.911509802202342,-24.755656216087967,9.965986505299638,288.7324350412082,26.17777583235636,0.0,10
74,2017-07-09T11:00:00,40.5877956258308,0.0,0.0,0.0,0.0,0.0,11.474127252748605,16.260732338560306,16.160745767220927,123.2057754370716,357.9632478710489,6.3783078316437685,-15.360066299037754,10.250450184132763,293.7188095089218,26.361960603379202,0.0,10
75,2017-07-09T12:00:00,40.6552105982564,0.0,0.0,0.0,0.0,0.0,11.477705684818918,15.95737528659381,16.226070472516916,120.89916273391417,358.01761338279715,5.476892820261077,-10.31906408382559,10.614504914881966,295.59588068494685,26.31982873138071,0.0,10
76,2017-07-09T13:00:00,40.782096155329235,0.0,0.0,0.0,0.0,0.0,11.482408892690268,15.9693097068023,16.099012841117016,122.2042894693778,358.2264271724907,5.563008699066053,-13.379042135028143,10.635463867401459,295.25259858041494,26.130472227478094,0.0,10
77,2017-07-09T14:00:00,36.04896120910162,0.0,0.0,0.0,0.0,0.0,11.482212893059817,15.43585946421805,15.550655434463017,121.31845608971463,358.67700867416556,7.864744929549631,2.2423351572119015,7.583382549281179,303.6440323646362,25.833894326782172,0.0,10
78,2017-07-09T15:00:00,20.13249229572979,0.0,0.0,0.0,0.0,0.0,11.453990846924393,11.703864462797476,11.994418951062677,110.53015488815917,359.74026604030973,4.763800796308301,25.0194771002647,7.656899209864763,305.7858422574212,25.858567901904678,53.34888245497226,10
79,2017-07-09T16:00:00,0.009640225881547282,0.0,0.0,0.0,0.0,0.0,11.388906486274417,0.09026572101206883,-0.005125636210296421,343.5736194872017,359.51307514479845,7.745464753752194,36.97221774814756,7.673541051397563,306.19604563516214,25.900669759114578,43.0,10
80,2017-07-09T17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.332178096686025,0.03614229675141247,0.044756648930929864,21.250838863907514,359.52179651221394,7.682941333030003,74.79437750112373,7.673541051397563,306.19604563516214,25.900669759114578,43.0,10
81,2017-07-09T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.37577019970589,0.00960991847636594,0.051476816924323675,33.273497605152365,359.519314380965,7.6740370238450755,87.00579584237272,7.673541051397563,306.19604563516214,25.900669759114578,43.00114537162295,10
82,2017-07-09T19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.326297984119442,0.0,0.08852025004266592,33.84298865186512,359.5124777078801,7.673541051397563,87.646943016703,7.673541051397563,306.19604563516214,25.900669759114578,43.06461883329718,10
83,2017-07-09T20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.271990051456735,0.0,0.07084586327370164,31.466562688455593,359.4773983418862,6.3596306528979945,79.76399000525453,6.3596306528979945,311.7025726832011,26.035338541666704,43.545050838060284,10
84,2017-07-09T21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.223244839624666,0.004417364349606427,0.12218205405748629,27.54344084873559,359.5087371433185,6.3607126522559865,75.80228643441995,6.3596306528979945,311.7025726832011,26.035338541666704,43.27464545682991,10
85,2017-07-09T22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.249866897132883,0.0265373803779145,0.34003960280037143,15.364995642888754,359.4808626986074,6.3714485887926005,63.44855469773387,6.3596306528979945,311.7025726832011,26.035338541666704,43.180022283703686,10
86,2017-07-09T23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.24805544606906,0.028498616201737617,0.19619672095799534,313.8374292467446,359.5131409240978,6.388109576886227,2.1253347510852327,6.3596306528979945,311.7025726832011,26.035338541666704,43.0,10
87,2017-07-10T00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.154609413190316,0.0,0.08665989450882389,288.56786722175514,359.44852743436434,6.3596306528979945,-23.134705461445957,6.3596306528979945,311.7025726832011,26.035338541666704,42.99965392869934,10
88,2017-07-10T01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.324691663363506,0.0,0.007577012899100479,273.334563337341,359.20289306443914,6.3596306528979945,-38.368009345860074,6.3596306528979945,311.7025726832011,26.035338541666704,43.0,10
89,2017-07-10T02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.36235100383705,0.0,-0.04119168175475384,271.8741858565926,359.2017487118647,6.589273143225236,-25.285008408560124,6.589273143225236,297.1591942651527,26.035338541666704,43.0,10
90,2017-07-10T03:00:00,0.0317793782109046,0.0,0.0,0.0,0.0,0.0,11.3561155591233,1.742801991189892e-05,-0.09188563877687876,283.12463865681326,359.2005226609291,6.589290051013914,-14.034518858417911,6.589273143225236,297.1591942651527,26.035338541666704,43.0,10
91,2017-07-10T04:00:00,15.417414497622058,0.0,0.0,0.0,0.0,0.0,11.361820434636325,6.1540467240955845,6.197008316742503,255.23331297730851,351.4965041995194,11.900884017308929,-21.71260648474345,6.589273143225236,297.1591942651527,26.035338541666704,54.91726227876396,10
92,2017-07-10T05:00:00,36.77278042718616,0.0,0.0,0.0,0.0,0.0,11.37311443698194,15.549972359861833,15.316737111055717,97.5440993816757,358.4000231220575,9.772582589343168,16.06109159153406,6.726167563360584,301.2453604063084,26.09145458335496,87.86440463290717,10
93,2017-07-10T06:00:00,36.539574067833215,0.0,0.0,0.0,0.0,0.0,11.489152994768917,16.074411747556773,15.774971538248742,97.05766732097084,358.1753909833739,10.802840187932764,15.721211862687868,6.386030583440374,304.33902314955407,26.202814499938995,159.59208851604313,10
94,2017-07-10T07:00:00,35.35792283605998,0.0,0.0,0.0,0.0,0.0,11.482167052390325,15.5957178364485,15.527580230689892,97.79099149238407,358.3777567050905,11.031417813563067,15.011825713530278,5.707509145216252,307.832564020576,26.308206427056234,0.0,10
95,2017-07-10T08:00:00,35.38575875774942,0.0,0.0,0.0,0.0,0.0,11.480952921632674,15.301496135418933,15.373523570943366,97.00734793581807,358.4570455815573,10.21165007730048,10.593848602448901,5.588665896675384,296.63610729994673,26.400003051757835,0.0,10
